,filename,artist,genre,description,phash,width,height,genre_count,subset
43645,Realism/adolf-hitler_alter-werderthor-wien.jpg,adolf hitler,['Realism'],alter-werderthor-wien,a78bf9369a61c219,1519,1382,1,train
43646,Realism/adolf-hitler_castle-battlements.jpg,adolf hitler,['Realism'],castle-battlements,dfe49992921bb342,2066,1382,1,train
43647,Realism/adolf-hitler_flower-blossom-study.jpg,adolf hitler,['Realism'],flower-blossom-study,e4679a986426cfc9,1382,2116,1,train
43648,Realism/adolf-hitler_informal-dining-room-long-view.jpg,adolf hitler,['Realism'],informal-dining-room-long-view,8d94c8178df43ae9,1765,1382,1,train
43649,Realism/adolf-hitler_sitting-room.jpg,adolf hitler,['Realism'],sitting-room,b3d6cd20d6b61278,1845,1382,1,train
43650,Realism/adolf-hitler_the-castle-on-the-donau.jpg,adolf hitler,['Realism'],the-castle-on-the-donau,b2b98b32cf0ec81e,1886,1382,1,train
43651,Realism/adolf-hitler_the-courtyard-of-the-old-residency-in-munich-1913.jpg,adolf hitler,['Realism'],the-courtyard-of-the-old-residency-in-munich-1913,93c0cc71b57c619d,1856,1382,1,train
43652,Realism/adolf-hitler_the-old-building-in-stand-of-trees-1909.jpg,adolf hitler,['Realism'],the-old-building-in-stand-of-trees-1909,9f9db032c663e348,1835,1382,1,train
43653,Realism/adolf-hitler_the-st-charles-church.jpg,adolf hitler,['Realism'],the-st-charles-church,a813de6c31d2ec78,1382,1992,1,train
43654,Realism/adolf-hitler_white-orchids.jpg,adolf hitler,['Realism'],white-orchids,cf4938376ab0e392,1382,1730,1,train
43655,Realism/albert-bierstadt_butterfly-1900.jpg,albert bierstadt,['Realism'],butterfly-1900,e87a9ac7a5a52529,2294,1382,1,train
43656,Realism/albert-bierstadt_butterfly.jpg,albert bierstadt,['Realism'],butterfly,a30ccce2711d1f97,2290,1382,1,train
43657,Realism/albert-bierstadt_native-of-the-woods.jpg,albert bierstadt,['Realism'],native-of-the-woods,ae3d93f0e48d9990,2439,1382,1,train
